iter	RMSE
0	4063309.637
1	3697787.672
2	3413756.201
3	3199765.655
4	3037318.692
5	2919364.697
6	2818621.689
7	2739106.232
8	2680371.244
9	2638434.589
10	2600837.206
11	2573515.144
12	2551364.43
13	2528839.436
14	2512368.643
15	2499176.161
16	2489109.273
17	2478729.048
18	2472333.354
19	2465078.733
20	2459195.496
21	2454956.988
22	2448121.494
23	2440898.711
24	2432946.108
25	2426993.221
26	2423825.208
27	2418872.776
28	2416165.704
29	2413033.7
30	2409482.532
31	2403338.302
32	2398790.729
33	2394471.002
34	2390197.719
35	2386651.184
36	2382916.171
37	2380329.564
38	2376045.234
39	2373749.92
40	2370536.528
41	2368149.122
42	2366223.418
43	2362491.889
44	2360201.78
45	2356449.438
46	2352712.765
47	2349683.059
48	2347513.6
49	2345678.15
50	2343070.707
51	2339615.89
52	2335848.428
53	2333812.571
54	2331901.469
55	2330380.036
56	2326846.548
57	2324396.226
58	2320550.314
59	2316442.498
60	2314132.224
61	2311448.573
62	2309421.669
63	2306394.832
64	2304198.569
65	2301692.546
66	2299015.067
67	2297461.933
68	2295080.969
69	2293630.202
70	2290957.209
71	2289195.599
72	2286388.841
73	2284814.977
74	2282354.314
75	2280292.367
76	2278216.748
77	2275662.922
78	2273120.842
79	2270530.596
80	2268236.679
81	2266883.885
82	2264006.533
83	2261889.979
84	2259836.291
85	2257469.159
86	2253886.536
87	2252789.339
88	2250074.172
89	2247599.277
90	2244865.437
91	2242920.59
92	2240415.358
93	2237859.716
94	2235737.864
95	2232946.4
96	2230913.861
97	2227572.061
98	2225714.292
99	2224389.508
100	2221950.74
101	2220236.239
102	2219045.23
103	2217206.673
104	2215031.786
105	2213142.72
106	2211843.61
107	2210165.232
108	2208812.304
109	2205915.673
110	2203396.342
111	2201817.179
112	2200056.161
113	2198856.307
114	2197211.712
115	2196310.948
116	2194874.884
117	2192911.613
118	2191846.075
119	2189187.768
120	2185918.301
121	2183980.118
122	2182002.628
123	2180438.498
124	2178737.5
125	2176416.349
126	2174694.819
127	2173568.675
128	2172651.272
129	2169999.078
130	2168346.491
131	2166427.692
132	2165006.588
133	2163419.984
134	2161854.565
135	2160402.548
136	2158129.187
137	2155860.384
138	2154526.319
139	2152901.736
140	2150831.677
141	2149222.118
142	2147363.531
143	2145824.061
144	2143245.013
145	2141859.913
146	2141096.221
147	2139241.835
148	2138093.377
149	2136635.485
150	2135351.821
151	2133865.018
152	2131925.443
153	2129779.096
154	2127438.462
155	2125655.635
156	2123489.217
157	2121894.144
158	2120373.375
159	2118866.078
160	2116820.106
161	2115856.726
162	2113292.957
163	2111762.726
164	2110198.224
165	2107853.571
166	2106317.253
167	2104707.767
168	2103836.705
169	2103091.064
170	2101481.872
171	2100157.035
172	2098843.991
173	2097115.671
174	2094939.552
175	2093133.158
176	2091397.089
177	2089519.796
178	2088330.319
179	2086749.295
180	2085908.03
181	2084143.781
182	2081674.775
183	2080045.996
184	2078300.306
185	2076798.867
186	2075130.526
187	2074029.818
188	2073090.012
189	2071563.319
190	2069600.329
191	2068905.027
192	2067898.629
193	2066784.364
194	2065563.794
195	2064181.824
196	2062614.798
197	2060164.966
198	2059600.06
199	2058031.87
200	2056199.177
201	2054839.06
202	2053349.955
203	2052278.859
204	2050657.658
205	2049154.281
206	2048436.813
207	2047614.83
208	2046358.896
209	2045577.072
210	2044671.795
211	2043760.402
212	2042460.247
213	2040922.259
214	2039068.476
215	2037620.957
216	2036728.213
217	2035012.465
218	2033214.144
219	2032031.676
220	2031318.684
221	2029961.168
222	2028667.825
223	2027485.731
224	2026578.936
225	2026068.786
226	2024776.723
227	2023447.798
228	2022326.336
229	2020959.531
230	2019830.048
231	2018662.607
232	2017595.45
233	2016215.729
234	2015308.938
235	2013837.768
236	2012289.14
237	2011466.157
238	2010547.19
239	2009627.914
240	2008756.896
241	2006936.153
242	2005423.72
243	2004686.543
244	2003370.714
245	2002193.504
246	2001091.125
247	1999266.98
248	1998155.977
249	1997041.609
250	1995739.78
251	1994042.858
252	1992598.247
253	1991273.935
254	1989606.548
255	1988663.212
256	1987537.835
257	1986458.768
258	1985435.919
259	1984607.472
260	1983656.536
261	1982718.194
262	1981799.12
263	1980270.216
264	1979403.945
265	1978138.195
266	1976859.067
267	1975728.479
268	1974981.917
269	1973827.43
270	1972881.19
271	1971357.082
272	1969079.548
273	1967983.299
274	1967084.031
275	1965834.029
276	1964829.518
277	1963441.097
278	1962538.695
279	1961702.453
280	1960980.837
281	1959818.029
282	1959210.014
283	1957683.759
284	1956125.31
285	1955320.867
286	1954494.959
287	1953852.979
288	1952882.656
289	1951617.74
290	1950747.737
291	1949793.175
292	1948502.746
293	1947421.847
294	1946072.057
295	1944812.294
296	1943929.657
297	1942639.975
298	1941214.007
299	1939995.412
300	1938784.799
301	1938299.775
302	1937461.083
303	1936190.972
304	1935752.62
305	1934722.037
306	1933853.288
307	1932915.62
308	1932057.425
309	1930954.218
310	1930181.765
311	1929518.836
312	1928638.572
313	1927296.24
314	1926072.623
315	1925191.143
316	1924634.247
317	1923472.317
318	1922287.517
319	1921790.364
320	1920598.647
321	1919564.163
322	1918457.398
323	1918084.501
324	1917610.008
325	1916743.27
326	1915992.908
327	1914802.957
328	1913867.942
329	1912793.279
330	1912221.462
331	1911053.786
332	1909695.689
333	1908420.49
334	1907725.791
335	1907011.78
336	1906420.93
337	1906041.346
338	1905248.845
339	1904118.816
340	1902811.262
341	1901784.111
342	1901032.796
343	1900023.353
344	1899175.97
345	1898308.682
346	1897517.255
347	1896795.738
348	1896206.513
349	1895562.029
350	1894689.148
351	1893743.951
352	1893193.979
353	1892478.012
354	1891394.83
355	1890548.375
356	1889350.673
357	1888270.657
358	1887298.34
359	1885936.122
360	1884820.465
361	1884212.409
362	1883684.55
363	1883082.614
364	1882029.141
365	1881274.272
366	1879996.158
367	1878218.401
368	1877520.108
369	1876391.437
370	1875138.967
371	1874035.95
372	1873459.381
373	1872812.787
374	1871248.238
375	1870491.944
376	1869623.889
377	1868857.268
378	1867234.923
379	1866583.671
380	1865804.045
381	1864159.619
382	1863520.601
383	1862784.716
384	1861874.394
385	1860986.027
386	1860021.248
387	1858871.393
388	1858080.224
389	1857107.052
390	1855721.292
391	1854851.902
392	1853960.452
393	1853005.504
394	1852383.36
395	1851664.603
396	1850769.191
397	1850108.543
398	1849456.993
399	1848599.568
400	1847634.404
401	1846753.379
402	1846177.252
403	1845227.22
404	1844849.581
405	1843860.413
406	1842793.415
407	1842420.8
408	1842127.932
409	1841220.426
410	1840479.291
411	1839615.943
412	1839050.828
413	1838531.653
414	1837733.271
415	1836693.487
416	1835758.743
417	1835108.269
418	1834199.371
419	1833313.161
420	1832720.19
421	1832126.101
422	1831301.484
423	1830255.931
424	1829580.574
425	1828831.101
426	1827879.467
427	1826700.483
428	1826165.969
429	1825597.877
430	1824788.363
431	1824040.884
432	1823381.683
433	1822867.417
434	1821875.685
435	1821141.492
436	1820208.633
437	1819869.07
438	1819305.353
439	1818558.329
440	1817811.276
441	1817073.62
442	1816448.872
443	1815767.73
444	1814962.22
445	1814045.601
446	1813083.6
447	1812344.383
448	1811803.934
449	1811251.462
450	1810334.483
451	1809274.081
452	1808579.169
453	1807362.343
454	1806502.411
455	1805668.449
456	1804725.836
457	1804036.294
458	1803391.063
459	1802462.359
460	1801444.824
461	1800445.796
462	1799534.505
463	1798892.517
464	1798284.924
465	1797949.845
466	1797244.096
467	1796735.924
468	1795872.799
469	1795075.879
470	1794255.041
471	1793856.356
472	1793152.317
473	1792418.985
474	1791681.469
475	1790398.591
476	1789764.513
477	1789013.507
478	1788637.768
479	1787795.284
480	1787110.928
481	1786282.231
482	1785774.857
483	1784972.079
484	1783898.37
