iter	Passed	Remaining
0	178	178014
1	298	149023
2	409	136256
3	520	129573
4	629	125205
5	762	126289
6	866	122946
7	971	120503
8	1079	118828
9	1195	118385
10	1304	117321
11	1415	116514
12	1528	116035
13	1636	115223
14	1751	115043
15	1856	114200
16	1964	113587
17	2065	112691
18	2172	112168
19	2280	111760
20	2383	111128
21	2492	110798
22	2601	110514
23	2708	110158
24	2812	109683
25	2921	109425
26	3024	109009
27	3130	108663
28	3238	108422
29	3343	108118
30	3448	107780
31	3553	107497
32	3655	107131
33	3764	106946
34	3869	106683
35	3976	106469
36	4080	106214
37	4187	106003
38	4296	105873
39	4399	105578
40	4506	105417
41	4612	105201
42	4715	104948
43	4820	104737
44	4923	104479
45	5028	104284
46	5133	104097
47	5238	103895
48	5344	103730
49	5458	103717
50	5571	103678
51	5680	103561
52	5787	103409
53	5892	103226
54	5998	103064
55	6104	102902
56	6212	102773
57	6325	102739
58	6434	102626
59	6547	102576
60	6656	102462
61	6766	102377
62	6875	102255
63	6984	102153
64	7093	102031
65	7202	101923
66	7308	101776
67	7416	101646
68	7524	101521
69	7631	101390
70	7740	101280
71	7847	101143
72	7955	101023
73	8065	100933
74	8176	100848
75	8286	100744
76	8391	100585
77	8498	100457
78	8609	100366
79	8715	100228
80	8822	100099
81	8932	100005
82	9044	99920
83	9153	99816
84	9262	99705
85	9371	99601
86	9480	99488
87	9587	99364
88	9694	99228
89	9803	99121
90	9912	99020
91	10018	98874
92	10123	98734
93	10233	98635
94	10341	98513
95	10449	98398
96	10591	98603
97	10729	98754
98	10836	98621
99	10944	98504
100	11054	98399
101	11164	98294
102	11272	98169
103	11380	98044
104	11498	98007
105	11607	97901
106	11715	97773
107	11821	97640
108	11928	97503
109	12035	97379
110	12144	97266
111	12252	97147
112	12357	96999
113	12461	96849
114	12565	96701
115	12670	96561
116	12773	96403
117	12878	96264
118	12983	96122
119	13089	95991
120	13199	95889
121	13306	95761
122	13408	95606
123	13511	95455
124	13617	95322
125	13723	95193
126	13827	95049
127	13931	94910
128	14036	94773
129	14143	94653
130	14254	94555
131	14358	94417
132	14462	94278
133	14569	94161
134	14676	94035
135	14778	93887
136	14880	93738
137	14986	93610
138	15113	93617
139	15219	93490
140	15323	93356
141	15429	93231
142	15538	93123
143	15650	93033
144	15769	92986
145	15876	92868
146	15981	92738
147	16090	92626
148	16200	92527
149	16311	92432
150	16417	92304
151	16523	92181
152	16632	92074
153	16737	91950
154	16843	91823
155	16946	91684
156	17052	91559
157	17158	91439
158	17266	91326
159	17368	91186
160	17472	91050
161	17576	90918
162	17680	90787
163	17787	90675
164	17894	90555
165	17999	90432
166	18103	90301
167	18209	90180
168	18313	90050
169	18416	89917
170	18519	89783
171	18624	89657
172	18729	89535
173	18835	89412
174	18939	89286
175	19043	89159
176	19149	89038
177	19257	88931
178	19362	88807
179	19472	88707
180	19576	88578
181	19682	88463
182	19788	88344
183	19895	88234
184	20001	88112
185	20106	87991
186	20214	87883
187	20319	87761
188	20422	87632
189	20526	87507
190	20630	87381
191	20733	87254
192	20839	87138
193	20949	87037
194	21058	86935
195	21164	86816
196	21271	86704
197	21377	86589
198	21529	86658
199	21665	86660
200	21775	86561
201	21881	86443
202	21990	86338
203	22096	86219
204	22202	86102
205	22306	85978
206	22411	85855
207	22516	85736
208	22626	85634
209	22732	85517
210	22837	85398
211	22945	85286
212	23055	85185
213	23162	85073
214	23267	84952
215	23393	84909
216	23501	84801
217	23609	84689
218	23727	84616
219	23852	84566
220	23958	84450
221	24066	84341
222	24175	84233
223	24278	84106
224	24381	83981
225	24484	83855
226	24591	83742
227	24696	83622
228	24799	83495
229	24904	83374
230	25007	83248
231	25111	83126
232	25218	83014
233	25324	82900
234	25429	82782
235	25535	82665
236	25642	82554
237	25747	82436
238	25854	82323
239	25958	82201
240	26070	82106
241	26185	82018
242	26296	81919
243	26399	81796
244	26506	81682
245	26609	81560
246	26716	81446
247	26820	81326
248	26924	81205
249	27032	81096
250	27141	80992
251	27245	80870
252	27347	80745
253	27452	80628
254	27561	80523
255	27667	80408
256	27772	80291
257	27877	80175
258	27984	80062
259	28088	79944
260	28194	79831
261	28299	79715
262	28403	79595
263	28509	79482
264	28615	79366
265	28721	79254
266	28825	79134
267	28927	79012
268	29031	78893
269	29135	78773
270	29243	78666
271	29351	78557
272	29464	78463
273	29569	78348
274	29675	78235
275	29780	78118
276	29888	78012
277	29993	77895
278	30097	77778
279	30201	77660
280	30306	77544
281	30408	77424
282	30513	77308
283	30619	77194
284	30726	77086
285	30830	76969
286	30933	76849
287	31036	76730
288	31142	76617
289	31259	76531
290	31364	76417
291	31468	76300
292	31576	76193
293	31683	76083
294	31791	75976
295	31896	75861
296	32000	75745
297	32115	75655
298	32270	75658
299	32377	75547
300	32482	75433
301	32587	75318
302	32693	75206
303	32809	75115
304	32915	75003
305	33019	74886
306	33123	74769
307	33227	74653
308	33330	74535
309	33434	74418
310	33536	74297
311	33638	74176
312	33743	74063
313	33845	73943
314	33947	73822
315	34050	73705
316	34155	73590
317	34261	73478
318	34362	73357
319	34465	73238
320	34569	73122
321	34674	73010
322	34778	72894
323	34880	72775
324	34983	72658
325	35091	72550
326	35195	72436
327	35302	72328
328	35411	72222
329	35517	72110
330	35630	72014
331	35738	71907
332	35845	71798
333	35951	71688
334	36058	71577
335	36167	71474
336	36277	71371
337	36388	71269
338	36500	71169
339	36609	71066
340	36720	70963
341	36826	70853
342	36939	70755
343	37045	70645
344	37153	70537
345	37261	70430
346	37367	70320
347	37473	70209
348	37579	70098
349	37688	69993
350	37795	69884
351	37903	69776
352	38020	69685
353	38140	69600
354	38248	69494
355	38356	69386
356	38463	69277
357	38570	69169
358	38678	69061
359	38788	68957
360	38894	68846
361	39000	68735
362	39105	68623
363	39212	68513
364	39318	68403
365	39424	68292
366	39536	68192
367	39644	68084
368	39751	67976
369	39859	67869
370	39966	67760
371	40074	67652
372	40180	67542
373	40284	67427
374	40387	67313
375	40493	67202
376	40598	67089
377	40703	66977
378	40809	66867
379	40912	66752
380	41017	66639
381	41122	66528
382	41228	66417
383	41332	66303
384	41436	66191
385	41549	66091
386	41663	65994
387	41769	65883
388	41877	65776
389	41985	65669
390	42091	65559
391	42198	65450
392	42302	65337
393	42406	65223
394	42510	65111
395	42615	65000
396	42721	64889
397	42848	64810
398	42998	64766
399	43106	64659
400	43214	64552
401	43318	64438
402	43423	64326
403	43528	64215
404	43637	64110
405	43744	64000
406	43851	63892
407	43955	63778
408	44061	63668
409	44168	63559
410	44273	63447
411	44377	63335
412	44481	63221
413	44586	63110
414	44690	62997
415	44793	62883
416	44896	62768
417	44998	62653
418	45103	62541
419	45208	62431
420	45312	62318
421	45417	62206
422	45522	62095
423	45632	61990
424	45737	61880
425	45843	61770
426	45945	61655
427	46049	61543
428	46157	61435
429	46266	61329
430	46369	61216
431	46473	61103
432	46575	60989
433	46683	60881
434	46790	60774
435	46896	60664
436	47001	60553
437	47104	60439
438	47209	60329
439	47311	60214
440	47415	60102
441	47519	59990
442	47621	59876
443	47723	59761
444	47827	59649
445	47933	59540
446	48037	59428
447	48142	59318
448	48244	59204
449	48347	59091
450	48451	58979
451	48553	58866
452	48655	58751
453	48758	58638
454	48861	58526
455	48963	58412
456	49068	58301
457	49173	58191
458	49278	58081
459	49381	57969
460	49489	57863
461	49598	57757
462	49702	57646
463	49808	57537
464	49914	57428
465	50016	57315
466	50123	57207
467	50228	57096
468	50332	56986
469	50437	56876
470	50539	56763
471	50643	56652
472	50750	56544
473	50855	56434
474	50959	56323
475	51063	56212
476	51169	56103
477	51274	55994
478	51378	55883
479	51483	55774
480	51591	55667
481	51701	55562
482	51810	55457
483	51921	55354
484	52033	55251
485	52140	55144
486	52245	55034
487	52351	54926
488	52457	54817
489	52562	54707
490	52665	54596
491	52768	54485
492	52874	54376
493	52979	54266
494	53085	54157
495	53189	54047
496	53293	53937
497	53398	53827
498	53502	53716
499	53636	53636
500	53778	53563
501	53885	53456
502	53990	53345
503	54100	53241
504	54207	53134
505	54311	53023
506	54416	52914
507	54522	52804
508	54625	52693
509	54726	52580
510	54828	52467
511	54929	52354
512	55031	52242
513	55137	52134
514	55243	52025
515	55345	51913
516	55449	51803
517	55556	51695
518	55664	51588
519	55768	51478
520	55872	51368
521	55979	51260
522	56086	51153
523	56201	51053
524	56308	50945
525	56411	50834
526	56515	50724
527	56621	50616
528	56726	50507
529	56832	50398
530	56937	50289
531	57047	50184
532	57160	50082
533	57265	49972
534	57369	49863
535	57475	49754
536	57583	49648
537	57690	49541
538	57795	49431
539	57900	49322
540	58004	49213
